Sequence,TimeStep,Feature_0_0,Feature_0_1,Feature_1_0,Feature_1_1,Feature_2_0,Feature_2_1
130,1,-113.0,160.0,-240.0,185.0,8.0,414.0
130,2,-119.0,170.0,-251.0,223.0,-73.0,388.0
130,3,-65.0,166.0,-94.0,182.0,-29.0,334.0
130,4,-17.0,114.0,62.0,11.0,100.0,417.0
130,5,36.0,86.0,113.0,-11.0,139.0,446.0
130,6,-118.0,126.0,-30.0,100.0,-119.0,459.0
131,0,61.0,-24.0,130.0,123.0,-19.0,288.0
131,1,-177.0,125.0,-230.0,132.0,-67.0,457.0
131,2,-108.0,140.0,-198.0,210.0,21.0,378.0
131,3,-96.0,144.0,-194.0,199.0,-11.0,357.0
131,4,-170.0,101.0,-149.0,225.0,249.0,434.0
131,5,69.0,-38.0,121.0,39.0,155.0,444.0
131,6,-165.0,73.0,-53.0,-12.0,-164.0,465.0
132,0,-36.0,174.0,-18.0,182.0,4.0,289.0
132,1,-116.0,147.0,-187.0,181.0,-97.0,439.0
132,2,-62.0,159.0,-166.0,242.0,-16.0,382.0
132,3,-49.0,163.0,-132.0,252.0,-45.0,339.0
132,4,-114.0,130.0,-61.0,61.0,-114.0,455.0
132,5,-28.0,79.0,65.0,-12.0,138.0,457.0
132,6,-165.0,116.0,-47.0,42.0,-168.0,457.0
133,0,-53.0,177.0,-18.0,182.0,-1.0,309.0
133,1,-104.0,161.0,-200.0,231.0,-77.0,423.0
133,2,-128.0,179.0,-253.0,281.0,-56.0,412.0
133,3,-47.0,165.0,-94.0,243.0,-22.0,345.0
133,4,-134.0,119.0,-74.0,139.0,-123.0,431.0
133,5,-69.0,75.0,31.0,-23.0,101.0,457.0
133,6,-184.0,126.0,-73.0,43.0,142.0,485.0
134,0,-75.0,154.0,-154.0,205.0,253.0,395.0
134,1,-87.0,169.0,-202.0,218.0,16.0,394.0
134,2,-127.0,169.0,-212.0,211.0,-100.0,415.0
134,3,-63.0,151.0,-126.0,219.0,-50.0,332.0
134,4,-19.0,91.0,69.0,12.0,68.0,407.0
134,5,2.0,110.0,81.0,-1.0,115.0,467.0
134,6,-146.0,131.0,-78.0,83.0,-118.0,457.0
135,0,-33.0,157.0,-26.0,224.0,296.0,399.0
135,1,-113.0,154.0,-108.0,137.0,-76.0,452.0
135,2,-105.0,179.0,-226.0,248.0,-33.0,415.0
135,3,-32.0,177.0,-134.0,267.0,-21.0,367.0
135,4,-110.0,124.0,-34.0,217.0,169.0,422.0
135,5,4.0,92.0,95.0,-10.0,86.0,480.0
135,6,-109.0,123.0,6.0,19.0,128.0,435.0
136,0,-33.0,152.0,-76.0,211.0,278.0,367.0
136,1,-164.0,119.0,-206.0,122.0,-50.0,459.0
136,2,-109.0,168.0,-228.0,267.0,-46.0,381.0
136,3,-59.0,150.0,-170.0,213.0,-44.0,376.0
136,4,-122.0,112.0,88.0,-2.0,108.0,420.0
136,5,15.0,60.0,89.0,-60.0,103.0,431.0
136,6,-151.0,70.0,-47.0,-3.0,-145.0,458.0
137,0,-45.0,164.0,-57.0,169.0,32.0,328.0
137,1,-143.0,126.0,-190.0,164.0,-39.0,414.0
137,2,-155.0,154.0,-291.0,211.0,-7.0,405.0
137,3,-67.0,149.0,-176.0,203.0,-2.0,319.0
137,4,-129.0,93.0,-76.0,46.0,228.0,449.0
137,5,4.0,90.0,76.0,8.0,228.0,477.0
137,6,-126.0,92.0,-28.0,52.0,222.0,475.0
138,0,-28.0,144.0,-57.0,190.0,276.0,388.0
138,1,-124.0,134.0,-144.0,173.0,-30.0,432.0
138,2,-96.0,180.0,-220.0,245.0,-47.0,401.0
138,3,-47.0,158.0,-151.0,222.0,-21.0,366.0
138,4,-95.0,125.0,-35.0,177.0,113.0,405.0
138,5,85.0,60.0,190.0,-57.0,-145.0,462.0
138,6,-58.0,95.0,48.0,39.0,-153.0,450.0
139,0,-58.0,163.0,-113.0,229.0,-22.0,315.0
139,1,-162.0,134.0,-244.0,171.0,-74.0,441.0
139,2,-151.0,175.0,-291.0,222.0,-77.0,423.0
139,3,-66.0,170.0,-155.0,261.0,-22.0,335.0
139,4,-111.0,70.0,-12.0,-5.0,-145.0,438.0
139,5,35.0,45.0,139.0,-79.0,121.0,516.0
139,6,-169.0,96.0,-53.0,17.0,-130.0,493.0
140,0,-50.0,153.0,-76.0,203.0,-19.0,311.0
140,1,-154.0,145.0,-232.0,149.0,-74.0,419.0
140,2,-131.0,170.0,-264.0,240.0,-66.0,415.0
140,3,-63.0,150.0,-155.0,211.0,-22.0,335.0
140,4,-156.0,100.0,-63.0,0.0,173.0,456.0
140,5,8.0,75.0,124.0,-24.0,115.0,489.0
140,6,-162.0,95.0,-51.0,-1.0,147.0,492.0
141,0,-58.0,149.0,-99.0,193.0,265.0,382.0
141,1,-145.0,115.0,-163.0,132.0,-42.0,422.0
141,2,-123.0,166.0,-257.0,204.0,-98.0,384.0
141,3,-88.0,166.0,-186.0,221.0,-41.0,340.0
141,4,-84.0,86.0,79.0,20.0,91.0,415.0
141,5,-74.0,98.0,72.0,17.0,107.0,436.0
141,6,-150.0,101.0,-54.0,30.0,-171.0,445.0
142,0,-22.0,159.0,-28.0,192.0,290.0,385.0
142,1,-150.0,150.0,-122.0,161.0,-110.0,482.0
142,2,-129.0,165.0,-249.0,217.0,-49.0,409.0
142,3,-36.0,167.0,-146.0,230.0,-30.0,371.0
142,4,-61.0,82.0,11.0,-39.0,147.0,443.0
142,5,10.0,96.0,103.0,-14.0,111.0,487.0
142,6,-135.0,83.0,-20.0,39.0,110.0,444.0
143,0,-29.0,157.0,-24.0,175.0,-12.0,276.0
143,1,-113.0,155.0,-247.0,225.0,-6.0,420.0
143,2,-126.0,123.0,-224.0,193.0,7.0,369.0
143,3,-67.0,150.0,-89.0,173.0,21.0,305.0
143,4,-169.0,100.0,-128.0,150.0,250.0,446.0
143,5,-63.0,36.0,78.0,-36.0,102.0,424.0
143,6,-174.0,102.0,-105.0,39.0,216.0,482.0
144,0,-34.0,146.0,-59.0,230.0,-19.0,274.0
144,1,-133.0,99.0,-137.0,169.0,-29.0,420.0
144,2,-147.0,157.0,-286.0,241.0,-43.0,412.0
144,3,-60.0,151.0,-152.0,235.0,31.0,294.0
144,4,-79.0,86.0,79.0,8.0,209.0,441.0
144,5,101.0,9.0,139.0,125.0,177.0,405.0
144,6,91.0,81.0,149.0,35.0,295.0,485.0
145,0,-30.0,153.0,-48.0,206.0,-10.0,278.0
145,1,-187.0,124.0,-219.0,126.0,-116.0,471.0
145,2,-116.0,167.0,-256.0,269.0,-35.0,362.0
145,3,-82.0,158.0,-219.0,252.0,-19.0,354.0
145,4,-143.0,115.0,-66.0,11.0,-112.0,410.0
145,5,211.0,-98.0,120.0,7.0,-97.0,460.0
145,6,-129.0,70.0,0.0,20.0,-183.0,498.0
146,0,-20.0,151.0,-21.0,191.0,-13.0,337.0
146,1,-166.0,155.0,-120.0,127.0,-132.0,464.0
146,2,-31.0,146.0,-90.0,231.0,-2.0,377.0
146,3,-58.0,167.0,-169.0,247.0,-65.0,366.0
146,4,-166.0,138.0,-255.0,106.0,245.0,430.0
146,5,19.0,47.0,130.0,-60.0,164.0,510.0
146,6,-77.0,95.0,45.0,42.0,150.0,504.0
147,0,-41.0,158.0,-122.0,232.0,251.0,411.0
147,1,-96.0,166.0,-182.0,224.0,37.0,384.0
147,2,-128.0,152.0,-42.0,190.0,-146.0,419.0
147,3,-32.0,166.0,-60.0,221.0,-27.0,322.0
147,4,-2.0,99.0,60.0,-11.0,59.0,420.0
147,5,-12.0,101.0,33.0,-14.0,125.0,443.0
147,6,-134.0,133.0,-72.0,90.0,-103.0,439.0
148,0,-24.0,155.0,-93.0,238.0,291.0,390.0
148,1,-104.0,143.0,-114.0,179.0,-65.0,420.0
148,2,-106.0,177.0,-207.0,202.0,-59.0,416.0
148,3,-38.0,161.0,-120.0,265.0,-8.0,329.0
148,4,27.0,60.0,102.0,-60.0,132.0,428.0
148,5,23.0,105.0,114.0,16.0,104.0,437.0
148,6,-86.0,135.0,28.0,68.0,-141.0,447.0
