Sequence,TimeStep,Feature_0_0,Feature_0_1,Feature_1_0,Feature_1_1,Feature_2_0,Feature_2_1
30,3,-44.0,158.0,-74.0,230.0,-26.0,304.0
30,4,-117.0,132.0,91.0,3.0,165.0,473.0
30,5,25.0,75.0,112.0,-50.0,126.0,514.0
30,6,-127.0,114.0,-7.0,50.0,-184.0,483.0
31,0,-48.0,156.0,-64.0,218.0,-12.0,285.0
31,1,-157.0,144.0,-212.0,182.0,-122.0,431.0
31,2,-137.0,167.0,-265.0,267.0,-50.0,370.0
31,3,-87.0,178.0,-195.0,263.0,-31.0,333.0
31,4,-151.0,112.0,-152.0,203.0,165.0,418.0
31,5,28.0,78.0,137.0,-31.0,108.0,509.0
31,6,-158.0,100.0,-19.0,41.0,103.0,502.0
32,0,-93.0,169.0,-177.0,267.0,271.0,390.0
32,1,-131.0,120.0,-130.0,163.0,8.0,417.0
32,2,-131.0,149.0,-148.0,174.0,-107.0,413.0
32,3,-74.0,168.0,-159.0,276.0,-21.0,349.0
32,4,5.0,87.0,94.0,-25.0,116.0,432.0
32,5,38.0,102.0,157.0,16.0,88.0,454.0
32,6,-109.0,116.0,5.0,41.0,-138.0,427.0
33,0,-45.0,129.0,-116.0,216.0,-46.0,330.0
33,1,-159.0,137.0,-254.0,164.0,-91.0,423.0
33,2,-111.0,172.0,-250.0,240.0,-96.0,427.0
33,3,-78.0,145.0,-164.0,219.0,-47.0,363.0
33,4,-137.0,129.0,-138.0,130.0,144.0,453.0
33,5,1.0,6.0,122.0,-86.0,125.0,456.0
33,6,-204.0,90.0,-91.0,14.0,135.0,482.0
34,0,-54.0,149.0,-65.0,186.0,290.0,373.0
34,1,-149.0,132.0,-124.0,143.0,-110.0,446.0
34,2,-102.0,180.0,-210.0,254.0,-49.0,403.0
34,3,-60.0,160.0,-163.0,218.0,-27.0,369.0
34,4,17.0,77.0,103.0,-51.0,143.0,440.0
34,5,62.0,80.0,152.0,-23.0,111.0,453.0
34,6,-13.0,98.0,56.0,25.0,-151.0,460.0
35,0,-72.0,168.0,-55.0,181.0,-20.0,323.0
35,1,-118.0,149.0,-187.0,178.0,-92.0,418.0
35,2,-130.0,165.0,-244.0,238.0,-79.0,374.0
35,3,-63.0,148.0,-148.0,201.0,-54.0,319.0
35,4,-146.0,147.0,-73.0,46.0,159.0,452.0
35,5,-27.0,76.0,53.0,-8.0,-153.0,465.0
35,6,-172.0,138.0,-61.0,53.0,-163.0,461.0
36,0,-48.0,158.0,-53.0,179.0,-12.0,332.0
36,1,-165.0,157.0,-136.0,153.0,-135.0,459.0
36,2,-65.0,171.0,-156.0,260.0,-16.0,370.0
36,3,-86.0,167.0,-184.0,249.0,-67.0,366.0
36,4,-141.0,122.0,-112.0,183.0,223.0,439.0
36,5,-43.0,71.0,59.0,-19.0,164.0,519.0
36,6,-119.0,119.0,-1.0,44.0,-169.0,473.0
37,0,-45.0,149.0,-91.0,193.0,-27.0,317.0
37,1,-173.0,139.0,-240.0,177.0,-142.0,451.0
37,2,-126.0,173.0,-259.0,237.0,-69.0,418.0
37,3,-82.0,148.0,-180.0,227.0,-57.0,361.0
37,4,-148.0,114.0,-70.0,8.0,163.0,452.0
37,5,30.0,44.0,146.0,-38.0,100.0,471.0
37,6,-158.0,87.0,-27.0,20.0,105.0,484.0
38,0,-63.0,157.0,-86.0,186.0,274.0,378.0
38,1,-121.0,123.0,-169.0,146.0,-6.0,407.0
38,2,-124.0,150.0,-247.0,204.0,-79.0,351.0
38,3,-82.0,168.0,-175.0,254.0,-37.0,333.0
38,4,-137.0,106.0,-79.0,180.0,94.0,408.0
38,5,-42.0,84.0,57.0,-8.0,121.0,441.0
38,6,-160.0,108.0,-61.0,35.0,-140.0,441.0
39,0,-58.0,159.0,-81.0,195.0,-27.0,310.0
39,1,-145.0,152.0,-218.0,186.0,-110.0,481.0
39,2,-128.0,175.0,-255.0,229.0,-71.0,411.0
39,3,-56.0,159.0,-137.0,214.0,-27.0,369.0
39,4,-149.0,120.0,-41.0,7.0,-143.0,448.0
39,5,34.0,63.0,135.0,-75.0,-163.0,463.0
39,6,-149.0,88.0,-30.0,11.0,-164.0,493.0
40,0,-39.0,161.0,-65.0,209.0,-33.0,302.0
40,1,-169.0,144.0,-265.0,160.0,-89.0,449.0
40,2,-149.0,174.0,-272.0,243.0,-84.0,414.0
40,3,-52.0,164.0,-80.0,182.0,-14.0,342.0
40,4,-125.0,83.0,-17.0,-24.0,-146.0,420.0
40,5,36.0,69.0,105.0,-52.0,-166.0,461.0
40,6,-178.0,95.0,-55.0,7.0,-171.0,483.0
41,0,-78.0,157.0,-105.0,188.0,273.0,374.0
41,1,-164.0,119.0,-154.0,122.0,-63.0,440.0
41,2,-118.0,155.0,-249.0,208.0,-72.0,339.0
41,3,-113.0,157.0,-216.0,210.0,-67.0,374.0
41,4,-150.0,100.0,-85.0,63.0,100.0,407.0
41,5,21.0,92.0,73.0,-23.0,140.0,449.0
41,6,-114.0,109.0,-19.0,26.0,-146.0,444.0
42,0,-18.0,145.0,-52.0,227.0,296.0,373.0
42,1,-136.0,118.0,-166.0,121.0,-28.0,440.0
42,2,-112.0,176.0,-225.0,255.0,-16.0,385.0
42,3,-67.0,157.0,-156.0,239.0,-35.0,363.0
42,4,-101.0,74.0,81.0,5.0,130.0,417.0
42,5,53.0,75.0,159.0,-73.0,114.0,462.0
42,6,-83.0,116.0,15.0,32.0,-142.0,462.0
43,0,-69.0,149.0,-142.0,216.0,274.0,374.0
43,1,-194.0,123.0,-117.0,71.0,-62.0,424.0
43,2,-108.0,164.0,-242.0,221.0,-62.0,391.0
43,3,-101.0,150.0,-210.0,203.0,-46.0,372.0
43,4,-73.0,91.0,23.0,5.0,83.0,419.0
43,5,34.0,111.0,138.0,20.0,103.0,430.0
43,6,-59.0,92.0,49.0,65.0,-168.0,430.0
44,0,-67.0,138.0,-107.0,190.0,-21.0,307.0
44,1,-142.0,131.0,-218.0,163.0,0.0,411.0
44,2,-150.0,159.0,-275.0,231.0,-9.0,403.0
44,3,-72.0,145.0,-179.0,197.0,11.0,313.0
44,4,-89.0,111.0,-14.0,174.0,226.0,442.0
