Output Folder,Use File,X0,Y0,X1,Y1,X2,Y2
output137,use0,730.0,635.0,830.0,535.0,796.0,1014.0
output137,use1,619.0,661.0,713.0,586.0,795.0,1003.0
output137,use2,447.0,724.0,446.0,717.0,485.0,1035.0
output137,use3,420.0,834.0,310.0,907.0,446.0,1025.0
output137,use4,459.9144385,825.4973262,289.47593583,919.95721925,459.9144385,1061.64705882
output137,use5,455.80748663,807.01604278,314.11764706,776.21390374,517.41176471,1108.87700535
output137,use6,654.99465241,683.80748663,811.05882353,498.99465241,535.89304813,1057.54010695
output138,use0,733.02673797,642.73796791,909.62566845,480.51336898,540.0,1049.32620321
output138,use1,560.0,684.0,671.0,593.0,795.0,1003.0
output138,use2,496.87700535,780.32085561,355.18716578,802.90909091,470.18181818,1043.1657754
output138,use3,422.0,852.0,350.0,938.0,446.0,1025.0
output138,use4,441.43315508,817.28342246,318.22459893,942.54545455,447.59358289,1076.02139037
output138,use5,484.55614973,784.42780749,414.73796791,724.87700535,498.93048128,1053.43315508
output138,use6,677.5828877,640.68449198,839.80748663,455.87165775,562.58823529,1016.47058824
output139,use0,699.0,663.0,776.0,550.0,797.0,1021.0
output139,use1,529.0,677.0,612.0,631.0,795.0,1003.0
output139,use2,446.0,785.0,378.0,813.0,485.0,1035.0
output139,use3,429.11229947,858.35294118,299.74331551,1002.09625668,447.59358289,1076.02139037
output139,use4,455.80748663,854.2459893,314.11764706,942.54545455,443.48663102,1067.80748663
output139,use5,443.0,776.0,331.0,797.0,491.0,1028.0
output139,use6,613.92513369,669.43315508,780.25668449,540.06417112,511.2513369,1028.79144385
output140,use0,724.81283422,677.64705882,866.5026738,548.27807487,540.0,1057.54010695
output140,use1,581.06951872,706.39572193,706.3315508,609.88235294,529.73262032,1039.05882353
output140,use2,419.0,729.0,381.0,738.0,485.0,1035.0
output140,use3,406.0,803.0,299.0,888.0,446.0,1025.0
output140,use4,433.21925134,827.55080214,369.56149733,924.06417112,466.07486631,1084.23529412
output140,use5,379.0,798.0,284.0,864.0,491.0,1028.0
output140,use6,525.62566845,698.18181818,628.29946524,535.95721925,515.35828877,1049.32620321
output141,use0,709.0,654.0,783.0,542.0,797.0,1021.0
output141,use1,570.80213904,677.64705882,769.98930481,568.81283422,540.0,1024.68449198
output141,use2,447.0,713.0,402.0,724.0,485.0,1035.0
output141,use3,422.95187166,809.06951872,277.15508021,905.5828877,447.59358289,1080.12834225
output141,use4,443.48663102,835.76470588,383.93582888,913.79679144,461.96791444,1071.9144385
output141,use5,404.0,793.0,289.0,857.0,491.0,1028.0
output141,use6,591.3368984,659.1657754,776.14973262,455.87165775,511.2513369,1067.80748663
output142,use0,687.85026738,640.68449198,858.28877005,476.40641711,535.89304813,1061.64705882
output142,use1,554.37433155,698.18181818,751.50802139,581.13368984,548.21390374,1030.84491979
output142,use2,396.25668449,761.83957219,381.88235294,784.42780749,480.44919786,1065.7540107
output142,use3,406.52406417,825.4973262,270.99465241,975.40106952,433.21925134,1071.9144385
output142,use4,451.70053476,831.65775401,396.25668449,913.79679144,439.37967914,1090.39572193
output142,use5,410.63101604,790.58823529,240.19251337,891.20855615,498.93048128,1061.64705882
output142,use6,581.06951872,665.32620321,739.18716578,492.8342246,544.10695187,1043.1657754
output143,use0,659.10160428,642.73796791,854.18181818,531.85026738,570.80213904,1043.1657754
output143,use1,589.28342246,665.32620321,769.98930481,566.75935829,548.21390374,1010.31016043
output143,use2,443.48663102,765.94652406,470.18181818,659.1657754,507.14438503,1086.28877005
output143,use3,440.0,821.0,330.0,884.0,446.0,1025.0
output143,use4,457.86096257,825.4973262,365.45454545,917.90374332,447.59358289,1043.1657754
output143,use5,411.0,784.0,291.0,836.0,491.0,1028.0
output143,use6,576.96256684,659.1657754,733.02673797,476.40641711,544.10695187,1024.68449198
output144,use0,710.43850267,628.36363636,864.44919786,476.40641711,552.32085561,1049.32620321
output144,use1,628.29946524,673.54010695,817.21925134,562.65240642,517.41176471,1057.54010695
output144,use2,461.96791444,765.94652406,418.84491979,724.87700535,480.44919786,1065.7540107
output144,use3,424.0,810.0,312.0,886.0,446.0,1025.0
output144,use4,441.43315508,831.65775401,340.81283422,913.79679144,441.43315508,1065.7540107
output144,use5,418.0,774.0,314.0,816.0,491.0,1028.0
output144,use6,622.13903743,677.64705882,774.09625668,462.03208556,533.83957219,1057.54010695
output145,use0,691.95721925,655.05882353,868.55614973,494.88770053,515.35828877,1057.54010695
output145,use1,572.85561497,679.70053476,724.81283422,554.43850267,533.83957219,1076.02139037
output145,use2,459.9144385,770.05347594,433.21925134,710.5026738,503.03743316,1039.05882353
output145,use3,470.18181818,846.03208556,307.95721925,942.54545455,437.32620321,1049.32620321
output145,use4,466.07486631,817.28342246,400.36363636,913.79679144,447.59358289,1047.27272727
output145,use5,396.25668449,809.06951872,262.78074866,882.99465241,484.55614973,1061.64705882
output145,use6,533.83957219,661.21925134,673.47593583,498.99465241,507.14438503,1024.68449198
output146,use0,700.17112299,622.20320856,862.39572193,470.2459893,507.14438503,1043.1657754
output146,use1,663.20855615,692.02139037,858.28877005,566.75935829,535.89304813,1024.68449198
output146,use2,429.11229947,733.09090909,474.28877005,751.57219251,498.93048128,1061.64705882
output146,use3,447.0,802.0,369.0,890.0,446.0,1025.0
output146,use4,447.59358289,843.97860963,400.36363636,909.68983957,451.70053476,1084.23529412
output146,use5,417.0,785.0,290.0,846.0,491.0,1028.0
output146,use6,562.58823529,665.32620321,765.88235294,488.72727273,529.73262032,1065.7540107
output147,use0,710.43850267,655.05882353,876.77005348,480.51336898,558.48128342,1034.95187166
output147,use1,552.32085561,692.02139037,761.77540107,568.81283422,552.32085561,1039.05882353
output147,use2,429.11229947,784.42780749,433.21925134,710.5026738,517.41176471,1030.84491979
output147,use3,422.95187166,831.65775401,295.63636364,917.90374332,474.28877005,1061.64705882
output147,use4,474.28877005,827.55080214,388.04278075,913.79679144,455.80748663,1034.95187166
output147,use5,435.0,799.0,306.0,867.0,491.0,1028.0
output147,use6,558.48128342,677.64705882,646.78074866,513.36898396,529.73262032,1049.32620321
output148,use0,753.56149733,646.84491979,891.14438503,494.88770053,521.51871658,1071.9144385
output148,use1,669.36898396,724.87700535,829.54010695,595.50802139,529.73262032,1020.57754011
output148,use2,429.11229947,788.53475936,474.28877005,772.10695187,478.39572193,1053.43315508
output148,use3,406.52406417,839.87165775,270.99465241,954.86631016,459.9144385,1057.54010695
output148,use4,429.11229947,854.2459893,336.70588235,942.54545455,451.70053476,1067.80748663
output148,use5,400.0,780.0,401.0,781.0,503.0,1032.0
output148,use6,603.65775401,650.95187166,769.98930481,455.87165775,511.2513369,1071.9144385
